iter	MultiClass
0	0.963006437
1	0.8789018263
2	0.8262128064
3	0.7781278217
4	0.7464199392
5	0.7195852148
6	0.6997115522
7	0.6795364481
8	0.664243718
9	0.6543411556
10	0.6458197707
11	0.6329251389
12	0.6233307363
13	0.6179488401
14	0.6108311777
15	0.6059107173
16	0.6004762931
17	0.5952743175
18	0.5917205071
19	0.5887955979
20	0.5862762518
21	0.5812984364
22	0.5788487083
23	0.5761291487
24	0.5734010726
25	0.5686867478
26	0.5662352537
27	0.5636702858
28	0.5613658254
29	0.558632775
30	0.557382338
31	0.5554429284
32	0.5532837913
33	0.5509925627
34	0.5497939485
35	0.5475290597
36	0.5456786597
37	0.5448574653
38	0.5446323635
39	0.5429845219
40	0.5422636304
41	0.5406347903
42	0.5396791291
43	0.5390489225
44	0.5373986686
45	0.5359756185
46	0.5343664208
47	0.5326424109
48	0.531325164
49	0.5298668292
50	0.528890884
51	0.5280325298
52	0.5272815895
53	0.5261232799
54	0.5248132361
55	0.5227946543
56	0.521789065
57	0.5202360273
58	0.5183173294
59	0.5170258914
60	0.5152441313
61	0.5139969407
62	0.5128420379
63	0.512064363
64	0.5109258762
65	0.508859898
66	0.5072533568
67	0.5065970404
68	0.5058850653
69	0.504664858
70	0.502816894
71	0.5022526445
72	0.500103675
73	0.4995131239
74	0.4986583138
75	0.4979177812
76	0.4970564474
77	0.4959993479
78	0.4943267768
79	0.4933139411
80	0.4922189787
81	0.4911212302
82	0.4897269236
83	0.4889082361
84	0.4878528966
85	0.486532437
86	0.4856679584
87	0.4844781914
88	0.483754889
89	0.482638264
90	0.4813355408
91	0.4800739408
92	0.4795719742
93	0.4785195176
94	0.4776653438
95	0.4766480511
96	0.4760521257
97	0.4752587138
98	0.4742188389
99	0.4729502031
100	0.4726199295
101	0.4712248239
102	0.4698658022
103	0.4689223368
104	0.4681257461
105	0.4675753177
106	0.466977652
107	0.4665213205
108	0.4656629818
109	0.4649526938
110	0.4637834236
111	0.4628665407
112	0.4622112411
113	0.4610172242
114	0.4604274903
115	0.4596993129
116	0.4586511727
117	0.4575787173
118	0.4569013848
119	0.4563313858
120	0.455489186
121	0.4550230386
122	0.4543828135
123	0.4537395607
124	0.4531412932
125	0.4521611652
126	0.4516464985
127	0.4506302
128	0.4500032512
129	0.4494777575
130	0.4489211418
131	0.4477872089
132	0.4468481471
133	0.4456867083
134	0.4453201469
135	0.4443974649
136	0.4437654967
137	0.4432525125
138	0.442842287
139	0.4418041279
140	0.4409752714
141	0.4402691692
142	0.4397342659
143	0.4392295907
144	0.4383181673
145	0.4376610786
146	0.4372228162
147	0.4366730017
148	0.4360223091
149	0.4353555286
150	0.4347598897
151	0.4339639481
152	0.4332784207
153	0.4324717248
154	0.4320386238
155	0.4308275409
156	0.4304835433
157	0.4298439415
158	0.4292229873
159	0.4282812515
160	0.4276692759
161	0.4267606977
162	0.4260955818
163	0.4258872703
164	0.4251710925
165	0.4239552019
166	0.4235179084
167	0.4230782696
168	0.4220142359
169	0.4215285989
170	0.4210520125
171	0.4203909924
172	0.4198233224
173	0.4193026966
174	0.4190314987
175	0.4184733311
176	0.4177424727
177	0.4174132281
178	0.41689352
179	0.4164216438
180	0.4158857366
181	0.4149943526
182	0.4137222953
183	0.4131363451
184	0.4122997827
185	0.4115706571
186	0.4111319734
187	0.4106486873
188	0.4099211432
189	0.4093011227
190	0.4086511289
191	0.4079404973
192	0.4076758207
193	0.4073111567
194	0.4064142809
195	0.4061229944
196	0.4052306544
197	0.4050112731
198	0.4041514746
199	0.4037858893
200	0.4033539266
201	0.40302895
202	0.4024773155
203	0.4019456043
204	0.4013296215
205	0.4006242313
206	0.4000917667
207	0.3992045687
208	0.3985971586
209	0.3978254445
210	0.397490865
211	0.396900392
212	0.396332694
213	0.3956767241
214	0.3951029516
215	0.3948147615
216	0.3942357355
217	0.3936941712
218	0.3931817072
219	0.3926546002
220	0.3922591586
221	0.3912261869
222	0.3907569905
223	0.3902040047
224	0.3897391094
225	0.3894320712
226	0.3890256622
227	0.3882898328
228	0.3878113811
229	0.387395461
230	0.3867806801
231	0.3863104067
232	0.3857575225
233	0.3853284826
234	0.3849472798
235	0.3845062569
236	0.3843286398
237	0.3838883536
238	0.3832621803
239	0.3828326158
240	0.3821931555
241	0.3819389257
242	0.3813152037
243	0.3808899549
244	0.3807232505
245	0.3803560452
246	0.3801805585
247	0.379804335
248	0.3789540485
249	0.3783786213
250	0.3779889392
251	0.3774895216
252	0.3772826547
253	0.3771097061
254	0.3767906296
255	0.3765437186
256	0.3761726807
257	0.3756242641
258	0.3752048014
259	0.3747099014
260	0.3743897066
261	0.3741104872
262	0.3738718987
263	0.3736347069
264	0.3733924323
265	0.3730838035
266	0.3727329073
267	0.372362827
268	0.3714705984
269	0.370794976
270	0.3705208153
271	0.369882916
272	0.3695474998
273	0.3689376984
274	0.368629521
275	0.3682425735
276	0.3679013451
277	0.3674989262
278	0.3670709401
279	0.3667737981
280	0.3664036607
281	0.3660817773
282	0.3655962414
