iter	Passed	Remaining
0	1475	1025278
1	3184	1104932
2	4806	1110234
3	6328	1094886
4	7996	1105076
5	9881	1136414
6	11605	1142334
7	13432	1155210
8	15105	1153024
9	16988	1165384
10	18942	1179606
11	20389	1162186
12	21901	1150652
13	23836	1161195
14	25337	1150323
15	26831	1140320
16	28548	1140250
17	30325	1142263
18	31993	1139968
19	33682	1138465
20	35351	1136291
21	37007	1133779
22	38635	1130501
23	40716	1140050
24	42105	1130113
25	43462	1120005
26	44924	1113125
27	46988	1121004
28	48535	1116315
29	50143	1113181
30	52117	1117994
31	53729	1114877
32	55430	1113649
33	56957	1108991
34	59033	1114884
35	60676	1112400
36	62459	1112457
37	64363	1114498
38	64879	1092962
39	66703	1093932
40	68517	1094608
41	70549	1098559
42	72595	1102440
43	74451	1103242
44	76134	1101407
45	77574	1096168
46	79089	1092107
47	80846	1091428
48	82536	1089814
49	84253	1088554
50	85997	1087609
51	87750	1086753
52	89598	1087010
53	91158	1083771
54	92705	1080440
55	94603	1081184
56	96338	1080002
57	97817	1075991
58	99344	1072580
59	100921	1069765
60	102298	1064908
61	103826	1061712
62	105392	1058939
63	107053	1057153
64	108599	1054251
65	110007	1050072
66	111471	1046496
67	113080	1044332
68	114822	1043388
69	116325	1040280
70	117798	1036960
71	119480	1035496
72	120847	1031339
73	122060	1025970
74	123505	1022627
75	124998	1019726
76	126512	1017032
77	128109	1015023
78	129357	1010301
79	130602	1005640
80	132415	1005378
81	133844	1002202
82	135182	998399
83	136535	994759
84	137768	990312
85	139651	990550
86	141173	988212
87	142659	985645
88	144233	983705
89	145734	981277
90	147431	980178
91	148904	977590
92	150519	975949
93	152387	975926
94	154086	974800
95	155524	972026
96	157354	971706
97	159248	971742
98	160753	969394
99	162102	966129
100	164101	966735
101	165448	963492
102	166890	960834
103	168206	957483
104	170152	957716
105	171737	955898
106	173168	953234
107	174576	950469
108	176469	950343
109	178414	950461
110	180420	950862
111	181896	948460
112	183957	949088
113	185559	947329
114	186877	944138
115	188557	942787
116	190517	942817
117	192022	940587
118	194096	941123
119	195839	940030
120	197370	937919
121	199449	938394
122	201443	938432
123	202672	934907
124	204472	934032
125	205684	930477
126	207494	929642
127	209029	927568
128	210634	925810
129	211946	922781
130	213868	922407
131	215464	920622
132	217251	919645
133	218609	916856
134	220305	915492
135	221764	913147
136	223713	912817
137	224973	909675
138	226423	907323
139	227959	905325
140	229410	903000
141	230881	900764
142	232703	899897
143	234899	900446
144	236454	898527
145	238122	897037
146	240179	896997
147	241642	894731
148	243071	892350
149	244480	889909
150	246133	888362
151	247728	886606
152	249286	884721
153	250998	883384
154	253038	883186
155	254801	882004
156	256996	882301
157	258877	881493
158	260465	879686
159	261753	876875
160	263084	874223
161	264541	872005
162	265862	869352
163	267527	867834
164	269359	866846
165	270987	865200
166	273018	864829
167	274646	863175
168	276189	861254
169	277979	860100
170	279152	857047
171	280834	855567
172	282285	853384
173	283842	851526
174	285326	849458
175	286938	847772
176	288364	845543
177	290391	845071
178	292728	845477
179	294488	844200
180	296029	842294
181	297963	841500
182	299526	839655
183	301408	838701
184	303084	837168
185	304725	835538
186	306427	834072
187	307866	831894
188	309664	830687
189	311298	829037
190	312945	827422
191	314267	824953
192	316325	824412
193	317584	821791
194	319145	819957
195	321203	819397
196	322882	817859
197	324740	816770
198	326670	815856
199	328751	815303
200	330276	813366
201	332143	812271
202	333928	810970
203	335869	810037
204	337224	807693
205	338766	805803
206	340340	803992
207	341624	801504
208	343051	799359
209	344924	798254
210	347034	797685
211	348506	795646
212	349945	793538
213	351549	791807
214	352849	789398
215	355100	789111
216	356451	786821
217	357980	784930
218	359416	782838
219	360858	780766
220	362213	778512
221	363865	776901
222	365635	775540
223	367389	774142
224	369123	772698
225	371096	771748
226	372680	769986
227	374106	767903
228	375768	766306
229	377558	764965
230	379363	763653
231	380623	761247
232	382139	759358
233	384359	758864
234	386326	757857
235	387828	755937
236	389559	754463
237	391533	753454
238	393670	752750
239	395422	751302
240	396685	748928
241	398602	747791
242	400369	746367
243	402008	744704
244	403996	743684
245	405941	742576
246	408000	741669
247	409944	740545
248	411139	738070
249	412655	736176
250	414373	734646
251	416414	733682
252	418320	732474
253	420215	731242
254	421519	728981
255	423508	727904
256	425075	726102
257	426220	723583
258	427887	721957
259	429585	720382
260	431648	719413
261	433345	717831
262	435317	716701
263	437266	715526
264	439014	714019
265	441107	713068
266	443077	711911
267	444691	710178
268	446105	708129
269	447854	706615
270	450026	705760
271	451904	704439
272	453820	703172
273	455413	701403
274	457080	699748
275	458809	698188
276	460419	696446
277	462589	695547
278	464022	693538
279	465762	691989
280	467409	690302
281	469472	689224
282	471050	687434
283	472792	685881
284	475025	685037
285	476579	683208
286	478406	681770
287	480271	680385
288	481955	678740
289	483330	676662
290	485420	675585
291	486986	673775
292	488676	672138
293	490548	670749
294	492102	668925
295	494087	667686
296	496327	666782
297	497636	664628
298	499492	663205
299	501628	662149
300	503715	661022
301	505301	659234
302	507443	658169
303	508936	656260
304	510279	654161
305	511974	652516
306	513872	651128
307	515178	648991
308	517018	647528
309	518745	645921
310	520587	644456
311	522182	642686
312	524225	641463
313	526005	639917
314	528046	638684
315	530073	637430
316	531612	635587
317	533331	633959
318	535063	632348
319	536690	630611
320	538373	628940
321	539804	626977
322	542168	626095
323	543515	624036
324	545381	622573
325	547335	621209
326	549040	619559
327	550443	617570
328	551992	615748
329	553531	613916
330	555640	612715
331	557332	611050
332	559002	609362
333	560836	607853
334	562387	606035
335	564404	604719
336	566301	603270
337	568463	602100
338	570086	600356
339	571578	598476
340	573321	596859
341	575159	595340
342	576759	593574
343	578344	591794
344	580117	590206
345	581654	588379
346	583778	587142
347	585288	585288
348	586978	583614
349	588400	581675
350	589968	579883
351	591763	578314
352	593639	576822
353	595428	575244
354	596797	573262
355	598540	571639
356	600788	570496
